City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,anchorage,61.2181,-149.9003,13.75,60,75,2.06,US,1718010893
337,juan griego,11.0817,-63.9655,25.58,89,47,4.13,VE,1718010893
338,atafu village,-8.5421,-172.5159,28.42,79,46,7.64,TK,1718010893
339,saint-denis,48.9167,2.3333,17.77,67,75,6.17,FR,1718010893
340,wichian buri,15.6578,101.106,28.99,76,100,6.18,TH,1718010894
341,nyrob,60.733,56.7202,19.49,46,100,4.41,RU,1718010894
342,nejo,9.5,35.5,20.71,76,100,1.14,ET,1718010894
343,mao,39.8885,4.2658,23.31,83,40,4.12,ES,1718010894
344,vanimo,-2.6741,141.3028,27.59,85,14,2.77,PG,1718010894
345,manokwari,-0.8667,134.0833,27.98,75,92,1.43,ID,1718010894
346,wenshui,28.4506,106.5267,23.22,77,92,1.37,CN,1718010788
347,pyt-yakh,60.7499,72.8582,23.14,26,100,3.47,RU,1718010894
348,machico,32.7,-16.7667,22.62,83,75,5.14,PT,1718010894
349,lagoa,39.05,-27.9833,17.98,74,98,3.43,PT,1718010894
350,itoman,26.1247,127.6694,25.22,96,75,4.63,JP,1718010894
351,harper,4.375,-7.7169,26.54,85,83,3.34,LR,1718010894
352,tolanaro,-25.0319,46.9987,19.32,76,95,4.07,MG,1718010894
353,umba,66.6871,34.3429,7.07,92,100,6.53,RU,1718010894
354,egersund,58.4513,5.9997,11.72,82,100,11.96,NO,1718010894
355,shakawe,-18.3667,21.85,22.02,35,7,4.7,BW,1718010894
356,ciudad constitucion,25.0369,-111.6644,17.23,79,0,4.82,MX,1718010895
357,hurricane,37.1753,-113.2899,25.18,32,58,0.45,US,1718010895
358,buka,40.8108,69.1986,38.26,13,78,2.96,UZ,1718010689
359,guerrero negro,27.9769,-114.0611,15.34,92,24,4.61,MX,1718010634
360,marsh harbour,26.5412,-77.0636,28.12,74,53,6.27,BS,1718010895
